State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Maharashtra,Palghar,0.1318648278850407,0.3480893109298491,0.4167544270234586,0.3908013079314515,0.2048346378020085,0.5536040670056321,33.27053419201574,31.24500883596102,32.54323905387129,188,330,166
Maharashtra,Parbhani,0.1537646710851163,0.3611619063994158,0.4355636355486834,0.2714064528778938,0.1238492253996894,0.4517822546318608,27.9833074993722,27.519650130553707,28.94538615230326,595,667,366
Maharashtra,Pune,0.8515061060466824,0.2993493336331499,0.3914390367377858,0.5074522414898013,0.6290374414200953,0.7179239495304599,61.02627847345015,54.27119474449596,62.539437586799,1,1,1
Maharashtra,Raigad,0.1318648278850407,0.3443324208112142,0.352404716523137,0.4048000146548448,0.2871250967603476,0.5595436138092968,34.63404243553411,32.68724416868839,32.12646821746947,132,227,182
Maharashtra,Raigarh,0.2394636002623117,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5415584373911623,31.791176780228707,31.824197275016942,31.020815677309667,282,281,243
Maharashtra,Ratnagiri,0.15088534468692,0.3528704479918418,0.3498061433080544,0.3669394274890932,0.1983153783518846,0.5853881643132272,33.05733220982147,31.53557344164527,31.37447872130808,201,305,218
Maharashtra,Sangli,0.2453142255029545,0.4055401899545294,0.2658869846311247,0.4125698578972416,0.2390805511836929,0.6694672483323916,38.04290940418216,37.63246906749176,34.69081277563439,59,60,99
Maharashtra,Satara,0.2644803360665443,0.3732824080983829,0.3659193702373895,0.3946437290298083,0.2878225137422813,0.6290170852045682,38.91129106422176,36.85487414355036,37.288750334018566,49,76,55
Maharashtra,Sindhudurg,0.0792058818901549,0.3628213508224518,0.3288262455013317,0.358317790705616,0.1506435181578325,0.571878329156126,30.11738636143243,29.42765679462997,27.847798527270477,383,490,442
Maharashtra,Solapur,0.3673403259641767,0.3598794523038462,0.3931444505232024,0.410779278345538,0.2324756834701168,0.535535911543969,38.452863014746505,37.00066728432036,39.42220211677683,55,70,32
Maharashtra,Thane,1.0,0.3324204211736401,0.3075108055165096,0.4180406060899585,0.2511257188317577,0.6311876531974667,52.40639182928516,50.074289177327614,58.02765424599149,2,2,2
Maharashtra,Unknown Districts Of India,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3188745689175054,0.3052443516482803,0.5173379938360513,32.2508275068463,31.6983343485602,28.87014472067921,256,288,371
Maharashtra,Wardha,0.1194007526088342,0.3401918965644138,0.3393193588276653,0.3619392650853247,0.1575283513136356,0.64544169349149,32.48131380390649,30.350858938257097,30.560700766171863,241,393,269
Maharashtra,Washim,0.1047453483800644,0.3152352392824889,0.5104525498915926,0.2995037382791892,0.1260032948780249,0.4773658099587989,28.409241721662365,25.78192263083055,30.314269062437766,556,769,276
Maharashtra,Yavatmal,0.252657045686534,0.3508018394817094,0.3854838235859825,0.3743552772569612,0.1733713783181093,0.5326369255284238,34.02326916647749,32.74525077078562,34.42718017149227,156,221,106
Manipur,Bishnupur,0.0192073399122969,0.4538222767429261,0.1326378484394273,0.3142146264508317,0.1047986431334023,0.5640653129255756,25.910319700265667,29.76485178952177,19.685425062588884,733,446,817
