State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Arunachal Pradesh,Longding,34.1,19.1,38.4,7.3,5.3,31.1,20.5,0.5,0.8,65.0,64.5,23.8,3778,22.4,83.5,62.5,97.4,27.7,55.2,21.8,56.1,16.0,13.8,15.8,20.6,4.0,13.7,65.8,39.6,33.4,0.0,0.0,0.0
Arunachal Pradesh,Lower Dibang Valley,34.6,19.6,51.5,7.1,4.6,38.1,25.6,2.8,1.0,93.7,90.1,36.8,6112,57.4,89.9,99.5,84.4,51.9,48.7,20.3,52.1,20.6,9.7,14.3,7.6,4.1,16.8,56.3,48.6,25.8,0.2,0.0,0.2
Arunachal Pradesh,Lower Subansiri,40.5,22.1,52.4,8.3,4.9,36.6,25.7,6.4,4.2,92.6,89.8,24.5,10266,60.8,82.8,98.1,97.8,49.9,48.1,16.8,46.7,18.0,8.1,30.7,11.5,4.3,23.2,53.4,39.1,15.2,0.7,3.6,0.8
Arunachal Pradesh,Namsai,58.6,52.6,59.2,6.6,5.6,28.1,27.1,1.7,0.2,68.8,63.6,30.9,4184,28.7,75.1,93.5,96.5,22.2,61.6,28.4,68.8,25.3,17.7,28.7,12.4,12.8,18.0,61.6,35.4,33.6,0.0,0.6,0.0
Arunachal Pradesh,Papum Pare,38.4,18.6,53.4,5.3,4.8,32.7,20.6,4.6,1.9,86.5,88.0,26.9,17185,81.3,75.7,92.9,98.7,50.5,42.7,16.1,43.7,16.1,15.6,29.7,9.0,5.3,31.1,38.4,39.3,24.8,1.2,2.6,2.0
Arunachal Pradesh,Siang,23.9,15.4,24.9,4.3,5.2,31.5,24.4,2.7,0.9,82.7,81.1,26.1,8478,27.6,91.2,96.3,99.6,50.6,60.6,27.3,55.5,19.6,8.8,21.3,12.1,6.5,15.8,50.8,31.1,21.5,0.2,1.2,0.2
Arunachal Pradesh,Tawang,59.1,57.4,89.6,5.5,3.1,36.4,30.3,14.8,6.2,89.9,84.2,33.5,5345,88.1,81.7,99.8,99.7,39.2,43.2,23.4,24.0,5.1,9.0,30.4,7.1,1.2,35.4,79.9,37.6,28.2,0.8,1.0,0.7
Arunachal Pradesh,Tirap,32.0,24.1,48.4,5.6,4.6,31.6,25.2,7.6,3.3,73.9,70.2,30.8,12104,50.4,86.7,93.8,98.8,40.2,49.0,16.4,44.8,12.7,16.0,38.6,13.8,5.5,28.3,59.3,35.7,27.4,0.2,0.2,0.2
Arunachal Pradesh,Upper Siang,29.2,22.4,51.0,5.7,4.0,31.7,26.1,6.2,1.5,78.8,76.0,34.6,12365,36.3,91.8,99.8,99.5,34.8,61.2,22.0,59.2,21.3,12.0,30.4,12.5,2.4,27.3,54.5,34.0,12.6,0.4,0.7,0.4
Arunachal Pradesh,Upper Subansiri,36.7,37.9,60.4,5.3,3.6,37.5,25.4,5.9,1.3,81.3,77.0,21.5,10087,32.8,80.9,94.7,87.0,31.8,65.6,42.8,55.3,19.8,19.2,36.8,12.2,2.8,25.0,34.6,32.1,23.6,0.1,0.5,0.3
