State,District,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs
Madhya Pradesh,Gwalior,121.0,50.0,6.0,4.0,1.0
Madhya Pradesh,Harda,81.0,8.0,4.0,0.0,1.0
Madhya Pradesh,Indore,118.0,62.0,7.0,7.0,1.0
Madhya Pradesh,Jabalpur,181.0,54.0,7.0,5.0,1.0
Madhya Pradesh,Jhabua,294.0,19.0,8.0,2.0,1.0
Madhya Pradesh,Katni,169.0,25.0,7.0,1.0,1.0
Madhya Pradesh,Khandwa (East Nimar),185.0,31.0,9.0,1.0,1.0
Madhya Pradesh,Khargone (West Nimar),317.0,60.0,11.0,3.0,1.0
Madhya Pradesh,Mandla,275.0,33.0,10.0,1.0,1.0
Madhya Pradesh,Mandsaur,179.0,41.0,7.0,3.0,1.0
Madhya Pradesh,Morena,239.0,26.0,5.0,5.0,1.0
Madhya Pradesh,Narmadapuram,161.0,21.0,5.0,3.0,1.0
Madhya Pradesh,Narsimhapur,139.0,24.0,6.0,3.0,1.0
Madhya Pradesh,Neemuch,105.0,19.0,2.0,3.0,1.0
Madhya Pradesh,Niwari,62.0,9.0,1.0,0.0,1.0
Madhya Pradesh,Panna,157.0,18.0,5.0,1.0,1.0
Madhya Pradesh,Raisen,188.0,27.0,6.0,6.0,1.0
Madhya Pradesh,Rajgarh,217.0,30.0,6.0,4.0,1.0
Madhya Pradesh,Ratlam,197.0,34.0,8.0,2.0,1.0
Madhya Pradesh,Rewa,322.0,44.0,10.0,3.0,1.0
Madhya Pradesh,Sagar,268.0,45.0,9.0,5.0,1.0
Madhya Pradesh,Satna,307.0,53.0,12.0,3.0,1.0
Madhya Pradesh,Sehore,162.0,25.0,8.0,3.0,1.0
Madhya Pradesh,Seoni,284.0,38.0,5.0,3.0,1.0
Madhya Pradesh,Shahdol,229.0,32.0,8.0,2.0,1.0
Madhya Pradesh,Shajapur,119.0,18.0,5.0,3.0,1.0
Madhya Pradesh,Sheopur,106.0,13.0,4.0,0.0,1.0
Madhya Pradesh,Shivpuri,251.0,20.0,9.0,0.0,1.0
Madhya Pradesh,Sidhi,194.0,29.0,7.0,0.0,1.0
Madhya Pradesh,Singrauli,205.0,19.0,7.0,0.0,1.0
Madhya Pradesh,Tikamgarh,148.0,14.0,7.0,0.0,1.0
Madhya Pradesh,Ujjain,211.0,39.0,6.0,6.0,1.0
Madhya Pradesh,Umaria,125.0,13.0,5.0,0.0,1.0
Madhya Pradesh,Vidisha,202.0,31.0,7.0,2.0,1.0
Maharashtra,Ahmednagar,565.0,107.0,23.0,2.0,1.0
Maharashtra,Akola,178.0,42.0,5.0,1.0,0.0
Maharashtra,Amravati,334.0,75.0,9.0,5.0,1.0
Maharashtra,Beed,297.0,57.0,10.0,3.0,1.0
Maharashtra,Bhandara,193.0,34.0,7.0,2.0,1.0
Maharashtra,Buldhana,280.0,58.0,12.0,1.0,1.0
Maharashtra,Chhatrapati Sambhajinagar,279.0,74.0,10.0,3.0,1.0
Maharashtra,Dharashiv,215.0,46.0,6.0,4.0,1.0
Maharashtra,Dhule,232.0,47.0,5.0,2.0,1.0
Maharashtra,Gadchiroli,376.0,48.0,9.0,3.0,1.0
Maharashtra,Gondia,258.0,41.0,10.0,1.0,0.0
Maharashtra,Hingoli,132.0,27.0,3.0,2.0,1.0
Maharashtra,Jalgaon,442.0,95.0,17.0,3.0,0.0
Maharashtra,Jalna,218.0,44.0,9.0,1.0,1.0
Maharashtra,Kolhapur,413.0,92.0,18.0,4.0,0.0
Maharashtra,Latur,252.0,60.0,10.0,1.0,0.0
Maharashtra,Mumbai,0.0,38.0,0.0,0.0,0.0
Maharashtra,Nagpur,316.0,105.0,10.0,2.0,0.0
Maharashtra,Nanded,379.0,79.0,13.0,4.0,1.0
Maharashtra,Nandurbar,293.0,63.0,12.0,2.0,1.0
Maharashtra,Nashik,589.0,155.0,24.0,6.0,1.0
Maharashtra,Palghar,306.0,69.0,10.0,3.0,0.0
Maharashtra,Parbhani,214.0,38.0,6.0,2.0,1.0
Maharashtra,Pune,546.0,192.0,41.0,5.0,1.0
