State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Madhya Pradesh,Alirajpur,126529,11566,612,1030,2903,321,2557,3863,533,1488
Madhya Pradesh,Anuppur,141327,39131,3217,12979,10757,997,14205,9980,1689,5420
Madhya Pradesh,Ashoknagar,134694,55874,1907,1800,2389,1820,4985,4953,6187,12657
Madhya Pradesh,Balaghat,353594,165623,1987,5795,12408,1175,10323,8614,5420,9847
Madhya Pradesh,Barwani,200959,92095,1114,1819,4167,2965,4532,5053,1730,5855
Madhya Pradesh,Betul,268513,117148,1975,6097,11965,1516,9406,10183,3709,12886
Madhya Pradesh,Bhind,196354,54290,4999,7474,9770,3266,27942,11176,4945,9070
Madhya Pradesh,Bhopal,81343,43915,686,800,2111,1377,3483,2430,2465,7018
Madhya Pradesh,Burhanpur,96835,62244,927,1063,2078,901,4891,4649,1254,5943
Madhya Pradesh,Chhatarpur,286256,101899,2245,3387,6800,994,10000,10384,7626,13634
Madhya Pradesh,Chhindwara,326112,138736,2686,9215,13536,3576,17150,16319,6632,15117
Madhya Pradesh,Damoh,250329,142765,1414,2863,5621,1442,7234,4887,2893,12692
Madhya Pradesh,Datia,131516,33520,803,2116,4402,266,10987,7369,4856,15517
Madhya Pradesh,Dewas,213567,98582,1566,2805,4194,2051,10522,6643,6128,30357
Madhya Pradesh,Dhar,333597,143815,2092,4053,8930,5194,16027,17655,6922,23667
Madhya Pradesh,Dindori,161848,63129,926,2880,6317,212,4550,4175,1580,1907
Madhya Pradesh,Guna,190483,84663,2024,1753,4008,1171,8436,6580,8022,16370
Madhya Pradesh,Gwalior,122015,52095,757,2099,3437,796,9567,7923,5272,10027
Madhya Pradesh,Harda,83768,41679,319,1648,2038,1165,9137,6426,3629,18275
Madhya Pradesh,Indore,145564,75891,1248,3336,4847,5871,12899,14136,8212,18288
Madhya Pradesh,Jabalpur,232505,141639,1546,5031,9106,2088,10404,10188,5790,12919
Madhya Pradesh,Jhabua,186880,34740,685,2853,4994,295,4111,5285,1390,8801
Madhya Pradesh,Katni,235767,111154,1594,4376,8792,2768,7553,5575,1803,5968
Madhya Pradesh,Khandwa (East Nimar),211359,117200,1267,2167,4470,2706,7284,5489,1573,16825
