State,District,Households,Population,Literacy_Rate
Assam,Cachar,379955,1736617,67.61
Assam,Karimganj,247714,1228686,64.73
Assam,Hailakandi,143350,659296,61.79
Assam,Bongaigaon,150018,738804,58.75
Assam,Chirang,97395,482162,53.9
Assam,Kamrup,311114,1517542,65.59
Assam,Kamrup Metropolitan,293112,1253938,79.84
Assam,Nalbari,155248,771639,68.91
Assam,Baksa,191701,950075,60.29
Assam,Darrang,187783,928500,52.45
Assam,Udalguri,168717,831668,56.5
West Bengal,Darjiling,391234,1846823,71.24
West Bengal,Jalpaiguri,868326,3872846,64.52
West Bengal,Koch Bihar,665720,2819086,65.64
West Bengal,Uttar Dinajpur,605674,3007134,49.54
West Bengal,Dakshin Dinajpur,396406,1676276,64.65
West Bengal,Malda,846991,3988845,52.31
West Bengal,Murshidabad,1570759,7103807,57.09
West Bengal,Birbhum,817899,3502404,61.63
West Bengal,Barddhaman,1730927,7717563,67.99
West Bengal,Nadia,1232282,5167600,67.35
West Bengal,North Twenty Four Parganas,2348683,10009781,76.01
West Bengal,Hugli,1287423,5519145,73.9
West Bengal,Bankura,766902,3596674,62.08
West Bengal,Purulia,567824,2930115,55.46
West Bengal,Haora,1061336,4850029,74.33
West Bengal,Kolkata,1024928,4496694,79.8
West Bengal,South Twenty Four Parganas,1781221,8161961,67.77
West Bengal,Paschim Medinipur,1301610,5913457,68.97
West Bengal,Purba Medinipur,1114170,5095875,76.99
Jharkhand,Garhwa,254697,1322784,49.4
Jharkhand,Chatra,182271,1042886,48.91
Jharkhand,Kodarma,116155,716259,54.48
Jharkhand,Giridih,396521,2445474,51.26
Jharkhand,Deoghar,264347,1492073,53.18
Jharkhand,Godda,253648,1313551,46.02
Jharkhand,Sahebganj,227023,1150567,42.0
Jharkhand,Pakur,182317,900422,39.19
Jharkhand,Dhanbad,507064,2684487,64.15
Jharkhand,Bokaro,394918,2062330,61.75
Jharkhand,Lohardaga,88638,461790,56.24
Jharkhand,Purbi Singhbhum,476931,2293919,65.73
Jharkhand,Palamu,358754,1939869,52.82
Jharkhand,Latehar,133381,726978,48.24
Jharkhand,Hazaribagh,304749,1734495,58.42
Jharkhand,Ramgarh,179375,949443,62.83
Jharkhand,Dumka,275019,1321442,50.88
Jharkhand,Jamtara,155275,791042,53.89
Jharkhand,Ranchi,569444,2914253,65.59
Jharkhand,Khunti,103700,531885,53.5
Jharkhand,Gumla,188988,1025213,54.6
Jharkhand,Simdega,118288,599578,57.29
Jharkhand,Pashchimi Singhbhum,302046,1502338,48.43
Jharkhand,Saraikela Kharsawan,221232,1065056,57.56
Odisha,Bargarh,370308,1481255,66.42
Odisha,Jharsuguda,136061,579505,70.04
Odisha,Sambalpur,249597,1041099,67.59
Odisha,Debagarh,75452,312520,63.3
Odisha,Sundargarh,479109,2093437,64.12
Odisha,Kendujhar,405272,1801733,58.42
Odisha,Mayurbhanj,586253,2519738,54.35
Odisha,Baleshwar,533001,2320529,69.86
Odisha,Bhadrak,306333,1506337,72.64
Odisha,Kendrapara,321934,1440361,75.62
Odisha,Jagatsinghapur,261307,1136971,78.19
Odisha,Cuttack,579170,2624470,76.64
Odisha,Jajapur,407851,1827192,70.63
Odisha,Dhenkanal,279364,1192811,69.58
Odisha,Anugul,297050,1273821,68.26
Odisha,Nayagarh,228315,962789,71.5
Odisha,Khordha,494212,2251673,77.72
Odisha,Puri,367269,1698730,76.05
Odisha,Ganjam,758267,3529031,62.62
Odisha,Gajapati,128523,577817,45.44
Odisha,Kandhamal,172022,733110,54.53
Odisha,Baudh,106961,441162,61.57
Odisha,Subarnapur,151136,610183,65.3
Odisha,Balangir,414749,1648997,56.23
Odisha,Nuapada,152210,610382,49.05
Odisha,Kalahandi,401251,1576869,50.86
Odisha,Rayagada,226144,967911,42.13
Odisha,Nabarangpur,273423,1220946,38.53
Odisha,Koraput,337677,1379647,41.18
Odisha,Malkangiri,137599,613192,39.91
Chhattisgarh,Koriya,153274,658917,60.38
Chhattisgarh,Surguja,526049,2359886,50.34
Chhattisgarh,Jashpur,192570,851669,58.17
Chhattisgarh,Raigarh,367962,1493984,63.7
Chhattisgarh,Korba,280073,1206640,62.05
Chhattisgarh,Janjgir-Champa,364532,1619707,62.95
Chhattisgarh,Bilaspur,600822,2663629,59.94
Chhattisgarh,Kabeerdham,178446,822526,50.35
Chhattisgarh,Rajnandgaon,318488,1537133,65.6
Chhattisgarh,Durg,701707,3343872,68.88
Chhattisgarh,Raipur,871225,4063872,64.71
Chhattisgarh,Mahasamund,248561,1032754,61.77
Chhattisgarh,Dhamtari,170951,799781,68.37
Chhattisgarh,Uttar Bastar Kanker,160937,748941,60.89
Chhattisgarh,Bastar,311538,1413199,46.06
Chhattisgarh,Narayanpur,27982,139820,40.5
Chhattisgarh,Dakshin Bastar Dantewada,120850,533638,35.84
Chhattisgarh,Bijapur,54757,255230,34.06
Madhya Pradesh,Sheopur,146043,687861,47.69
Madhya Pradesh,Morena,362646,1965970,60.01
Madhya Pradesh,Bhind,299233,1703005,64.29
Madhya Pradesh,Gwalior,383845,2032036,66.79
Madhya Pradesh,Datia,160215,786754,62.46
Madhya Pradesh,Shivpuri,359969,1726050,52.19
Madhya Pradesh,Tikamgarh,296116,1445166,51.75
Madhya Pradesh,Chhatarpur,356297,1762375,53.51
Madhya Pradesh,Panna,228709,1016520,54.36
Madhya Pradesh,Sagar,517850,2378458,64.99
Madhya Pradesh,Damoh,297608,1264219,59.14
Madhya Pradesh,Satna,478741,2228935,61.54
Madhya Pradesh,Rewa,526065,2365106,60.96
Madhya Pradesh,Umaria,145024,644758,55.32
Madhya Pradesh,Neemuch,179746,826067,61.6
Madhya Pradesh,Mandsaur,286808,1340411,62.26
Madhya Pradesh,Ratlam,296683,1455069,56.76
Madhya Pradesh,Ujjain,391438,1986864,62.46
Madhya Pradesh,Shajapur,300025,1512681,59.14
Madhya Pradesh,Dewas,308871,1563715,59.18
Madhya Pradesh,Dhar,425914,2185793,49.29
Madhya Pradesh,Indore,649540,3276697,70.47
Madhya Pradesh,Khargone (West Nimar),367988,1873046,52.65
Madhya Pradesh,Barwani,243277,1385881,39.68
Madhya Pradesh,Rajgarh,345297,1545814,52.03
Madhya Pradesh,Vidisha,299676,1458875,59.15
Madhya Pradesh,Bhopal,501805,2371061,70.04
Madhya Pradesh,Sehore,257311,1311332,59.51
Madhya Pradesh,Raisen,278895,1331597,61.6
Madhya Pradesh,Betul,329832,1575362,59.65
Madhya Pradesh,Harda,113379,570465,61.8
