State,District,Households,Population,Literacy_Rate
ARUNACHAL PRADESH,West Kameng,18159,83947,57.77
ARUNACHAL PRADESH,East Kameng,14508,78690,48.86
ARUNACHAL PRADESH,Papum Pare,35730,176573,68.55
ARUNACHAL PRADESH,Upper Subansiri,15869,83448,54.26
ARUNACHAL PRADESH,West Siang,21231,112274,57.67
ARUNACHAL PRADESH,East Siang,19107,99214,63.07
ARUNACHAL PRADESH,Upper Siang,7324,35320,51.51
ARUNACHAL PRADESH,Changlang,29521,148226,49.37
ARUNACHAL PRADESH,Tirap,20611,111975,42.84
ARUNACHAL PRADESH,Lower Subansiri,15249,83030,65.11
ARUNACHAL PRADESH,Kurung Kumey,15037,92076,39.76
ARUNACHAL PRADESH,Dibang Valley,1952,8004,55.42
ARUNACHAL PRADESH,Lower Dibang Valley,11600,54080,58.89
ARUNACHAL PRADESH,Lohit,30005,145726,57.0
ARUNACHAL PRADESH,Anjaw,4612,21167,47.2
NAGALAND,Mon,41978,250260,47.8
NAGALAND,Mokokchung,42690,194622,81.95
NAGALAND,Zunheboto,27835,140757,73.09
NAGALAND,Wokha,31891,166343,77.07
NAGALAND,Dimapur ,78605,378811,73.4
NAGALAND,Phek,36639,163418,64.8
NAGALAND,Tuensang,36742,196596,59.77
NAGALAND,Longleng,11985,50484,59.15
NAGALAND,Kiphire,14771,74004,55.72
NAGALAND,Kohima,54391,267988,73.69
NAGALAND,Peren,18475,95219,65.33
MANIPUR,Senapati,83411,479148,55.2
MANIPUR,Tamenglong ,25039,140651,60.44
MANIPUR,Churachandpur,49089,274143,71.47
MANIPUR,Bishnupur,46580,237399,65.85
MANIPUR,Thoubal,85965,422168,63.79
MANIPUR,Imphal West,111156,517992,75.8
MANIPUR,Imphal East,92124,456113,71.18
MANIPUR,Ukhrul,35694,183998,70.56
MANIPUR,Chandel,28801,144182,62.63
MIZORAM,Mamit,17731,86364,69.69
MIZORAM,Kolasib,17270,83955,78.49
MIZORAM,Aizawl,82524,400309,85.08
MIZORAM,Champhai,25520,125745,80.16
MIZORAM,Serchhip,12622,64937,83.89
MIZORAM,Lunglei,33058,161428,75.03
MIZORAM,Lawngtlai,22984,117894,53.32
MIZORAM,Saiha,11144,56574,74.65
TRIPURA,West Tripura ,410565,1725739,78.89
TRIPURA,South Tripura ,208127,876001,73.84
TRIPURA,Dhalai,84509,378230,73.03
TRIPURA,North Tripura,152355,693947,74.99
MEGHALAYA,West Garo Hills,123352,643291,55.76
MEGHALAYA,East Garo Hills,58328,317917,60.44
MEGHALAYA,South Garo Hills,24527,142334,57.65
MEGHALAYA,West Khasi Hills,64906,383461,60.16
MEGHALAYA,Ribhoi,46872,258840,60.21
MEGHALAYA,East Khasi Hills,164046,825922,69.99
MEGHALAYA,Jaintia Hills,66028,395124,47.46
ASSAM,Kokrajhar,181081,887142,55.16
ASSAM,Dhubri,414674,1949258,47.32
ASSAM,Goalpara,198454,1008183,55.9
ASSAM,Barpeta,337929,1693622,52.97
ASSAM,Morigaon,184602,957423,56.39
ASSAM,Nagaon,559340,2823768,60.58
ASSAM,Sonitpur,392919,1924110,57.61
ASSAM,Lakhimpur,204307,1042137,65.59
ASSAM,Dhemaji,129869,686133,61.65
ASSAM,Tinsukia,268598,1327929,60.12
ASSAM,Dibrugarh,276867,1326335,66.69
ASSAM,Sivasagar,248367,1151050,70.68
ASSAM,Jorhat,236262,1092256,72.78
ASSAM,Golaghat,227197,1066888,67.65
ASSAM,Karbi Anglong,177646,956313,58.27
ASSAM,Dima Hasao,42252,214102,65.8
ASSAM,Cachar,379955,1736617,67.61
ASSAM,Karimganj,247714,1228686,64.73
ASSAM,Hailakandi,143350,659296,61.79
ASSAM,Bongaigaon,150018,738804,58.75
ASSAM,Chirang,97395,482162,53.9
ASSAM,Kamrup,311114,1517542,65.59
ASSAM,Kamrup Metropolitan,293112,1253938,79.84
ASSAM,Nalbari,155248,771639,68.91
ASSAM,Baksa,191701,950075,60.29
ASSAM,Darrang,187783,928500,52.45
ASSAM,Udalguri,168717,831668,56.5
WEST BENGAL,Darjiling ,391234,1846823,71.24
WEST BENGAL,Jalpaiguri ,868326,3872846,64.52
WEST BENGAL,Koch Bihar ,665720,2819086,65.64
WEST BENGAL,Uttar Dinajpur,605674,3007134,49.54
WEST BENGAL,Dakshin Dinajpur,396406,1676276,64.65
WEST BENGAL,Maldah ,846991,3988845,52.31
WEST BENGAL,Murshidabad ,1570759,7103807,57.09
WEST BENGAL,Birbhum,817899,3502404,61.63
WEST BENGAL,Barddhaman ,1730927,7717563,67.99
WEST BENGAL,Nadia ,1232282,5167600,67.35
WEST BENGAL,North Twenty Four Parganas,2348683,10009781,76.01
WEST BENGAL,Hugli ,1287423,5519145,73.9
WEST BENGAL,Bankura ,766902,3596674,62.08
WEST BENGAL,Puruliya,567824,2930115,55.46
WEST BENGAL,Haora ,1061336,4850029,74.33
WEST BENGAL,Kolkata,1024928,4496694,79.8
WEST BENGAL,South Twenty Four Parganas,1781221,8161961,67.77
WEST BENGAL,Paschim Medinipur,1301610,5913457,68.97
WEST BENGAL,Purba Medinipur,1114170,5095875,76.99
JHARKHAND,Garhwa ,254697,1322784,49.4
JHARKHAND,Chatra,182271,1042886,48.91
JHARKHAND,Kodarma,116155,716259,54.48
JHARKHAND,Giridih,396521,2445474,51.26
JHARKHAND,Deoghar,264347,1492073,53.18
JHARKHAND,Godda,253648,1313551,46.02
JHARKHAND,Sahibganj,227023,1150567,42.0
JHARKHAND,Pakur,182317,900422,39.19
JHARKHAND,Dhanbad,507064,2684487,64.15
JHARKHAND,Bokaro,394918,2062330,61.75
JHARKHAND,Lohardaga,88638,461790,56.24
JHARKHAND,Purbi Singhbhum,476931,2293919,65.73
JHARKHAND,Palamu,358754,1939869,52.82
JHARKHAND,Latehar,133381,726978,48.24
JHARKHAND,Hazaribagh,304749,1734495,58.42
JHARKHAND,Ramgarh,179375,949443,62.83
JHARKHAND,Dumka,275019,1321442,50.88
JHARKHAND,Jamtara,155275,791042,53.89
JHARKHAND,Ranchi,569444,2914253,65.59
JHARKHAND,Khunti,103700,531885,53.5
JHARKHAND,Gumla,188988,1025213,54.6
JHARKHAND,Simdega,118288,599578,57.29
JHARKHAND,Pashchimi Singhbhum,302046,1502338,48.43
JHARKHAND,Saraikela-Kharsawan,221232,1065056,57.56
ODISHA,Bargarh,370308,1481255,66.42
ODISHA,Jharsuguda,136061,579505,70.04
ODISHA,Sambalpur,249597,1041099,67.59
ODISHA,Debagarh,75452,312520,63.3
ODISHA,Sundargarh,479109,2093437,64.12
ODISHA,Kendujhar,405272,1801733,58.42
ODISHA,Mayurbhanj,586253,2519738,54.35
ODISHA,Baleshwar,533001,2320529,69.86
ODISHA,Bhadrak,306333,1506337,72.64
ODISHA,Kendrapara ,321934,1440361,75.62
ODISHA,Jagatsinghapur ,261307,1136971,78.19
ODISHA,Cuttack,579170,2624470,76.64
ODISHA,Jajapur  ,407851,1827192,70.63
ODISHA,Dhenkanal,279364,1192811,69.58
ODISHA,Anugul  ,297050,1273821,68.26
ODISHA,Nayagarh  ,228315,962789,71.5
ODISHA,Khordha ,494212,2251673,77.72
ODISHA,Puri,367269,1698730,76.05
ODISHA,Ganjam,758267,3529031,62.62
ODISHA,Gajapati,128523,577817,45.44
ODISHA,Kandhamal,172022,733110,54.53
ODISHA,Baudh,106961,441162,61.57
ODISHA,Subarnapur,151136,610183,65.3
ODISHA,Balangir,414749,1648997,56.23
ODISHA,Nuapada,152210,610382,49.05
ODISHA,Kalahandi,401251,1576869,50.86
ODISHA,Rayagada  ,226144,967911,42.13
ODISHA,Nabarangapur ,273423,1220946,38.53
ODISHA,Koraput,337677,1379647,41.18
ODISHA,Malkangiri  ,137599,613192,39.91
CHHATTISGARH,Koriya,153274,658917,60.38
CHHATTISGARH,Surguja,526049,2359886,50.34
CHHATTISGARH,Jashpur ,192570,851669,58.17
CHHATTISGARH,Raigarh,367962,1493984,63.7
CHHATTISGARH,Korba ,280073,1206640,62.05
CHHATTISGARH,Janjgir - Champa,364532,1619707,62.95
CHHATTISGARH,Bilaspur,600822,2663629,59.94
CHHATTISGARH,Kabeerdham,178446,822526,50.35
CHHATTISGARH,Rajnandgaon,318488,1537133,65.6
CHHATTISGARH,Durg,701707,3343872,68.88
CHHATTISGARH,Raipur,871225,4063872,64.71
CHHATTISGARH,Mahasamund,248561,1032754,61.77
CHHATTISGARH,Dhamtari ,170951,799781,68.37
CHHATTISGARH,Uttar Bastar Kanker,160937,748941,60.89
CHHATTISGARH,Bastar,311538,1413199,46.06
CHHATTISGARH,Narayanpur,27982,139820,40.5
CHHATTISGARH,Dakshin Bastar Dantewada,120850,533638,35.84
CHHATTISGARH,Bijapur,54757,255230,34.06
MADHYA PRADESH,Sheopur ,146043,687861,47.69
MADHYA PRADESH,Morena,362646,1965970,60.01
MADHYA PRADESH,Bhind,299233,1703005,64.29
MADHYA PRADESH,Gwalior,383845,2032036,66.79
MADHYA PRADESH,Datia,160215,786754,62.46
MADHYA PRADESH,Shivpuri,359969,1726050,52.19
MADHYA PRADESH,Tikamgarh,296116,1445166,51.75
MADHYA PRADESH,Chhatarpur,356297,1762375,53.51
MADHYA PRADESH,Panna,228709,1016520,54.36
MADHYA PRADESH,Sagar,517850,2378458,64.99
MADHYA PRADESH,Damoh,297608,1264219,59.14
MADHYA PRADESH,Satna,478741,2228935,61.54
MADHYA PRADESH,Rewa,526065,2365106,60.96
MADHYA PRADESH,Umaria,145024,644758,55.32
MADHYA PRADESH,Neemuch ,179746,826067,61.6
MADHYA PRADESH,Mandsaur,286808,1340411,62.26
MADHYA PRADESH,Ratlam,296683,1455069,56.76
MADHYA PRADESH,Ujjain,391438,1986864,62.46
MADHYA PRADESH,Shajapur,300025,1512681,59.14
MADHYA PRADESH,Dewas,308871,1563715,59.18
MADHYA PRADESH,Dhar,425914,2185793,49.29
MADHYA PRADESH,Indore,649540,3276697,70.47
MADHYA PRADESH,Khargone (West Nimar),367988,1873046,52.65
MADHYA PRADESH,Barwani ,243277,1385881,39.68
MADHYA PRADESH,Rajgarh,345297,1545814,52.03
MADHYA PRADESH,Vidisha,299676,1458875,59.15
MADHYA PRADESH,Bhopal,501805,2371061,70.04
MADHYA PRADESH,Sehore,257311,1311332,59.51
MADHYA PRADESH,Raisen,278895,1331597,61.6
MADHYA PRADESH,Betul,329832,1575362,59.65
MADHYA PRADESH,Harda ,113379,570465,61.8
MADHYA PRADESH,Hoshangabad,257199,1241350,65.3
MADHYA PRADESH,Katni ,289551,1292042,61.2
MADHYA PRADESH,Jabalpur,539060,2463289,71.31
MADHYA PRADESH,Narsimhapur,250286,1091854,65.83
MADHYA PRADESH,Dindori ,169630,704524,53.75
MADHYA PRADESH,Mandla,250146,1054905,57.35
MADHYA PRADESH,Chhindwara,443361,2090922,61.9
MADHYA PRADESH,Seoni,314767,1379131,62.66
MADHYA PRADESH,Balaghat,391836,1701698,67.44
MADHYA PRADESH,Guna,244401,1241519,52.68
MADHYA PRADESH,Ashoknagar,172680,845071,55.51
MADHYA PRADESH,Shahdol,251452,1066063,56.68
MADHYA PRADESH,Anuppur,170715,749237,58.27
MADHYA PRADESH,Sidhi,238448,1127033,53.31
MADHYA PRADESH,Singrauli,243925,1178273,49.65
MADHYA PRADESH,Jhabua,194157,1025048,34.35
MADHYA PRADESH,Alirajpur,123800,728999,28.77
MADHYA PRADESH,Khandwa (East Nimar),266655,1310061,55.85
MADHYA PRADESH,Burhanpur,146341,757847,53.93
GUJARAT,Kachchh,445672,2092371,59.85
GUJARAT,Banas Kantha,560411,3120506,54.64
GUJARAT,Patan  ,267633,1343734,62.36
GUJARAT,Mahesana,424479,2035064,73.84
GUJARAT,Sabar Kantha,481414,2428589,65.01
GUJARAT,Gandhinagar,289990,1391753,74.04
GUJARAT,Ahmadabad,1510134,7214225,75.35
GUJARAT,Surendranagar,343213,1756268,62.27
GUJARAT,Rajkot,786586,3804558,71.63
GUJARAT,Jamnagar,430941,2160119,64.65
GUJARAT,Porbandar ,124556,585449,67.24
GUJARAT,Junagadh,527326,2743082,67.18
GUJARAT,Amreli,294837,1514190,65.74
GUJARAT,Bhavnagar,538605,2880365,65.52
GUJARAT,Anand  ,427605,2092745,74.13
GUJARAT,Kheda,466856,2299885,72.19
GUJARAT,Panch Mahals,446611,2390776,60.27
GUJARAT,Dohad  ,334272,2127086,47.35
GUJARAT,Vadodara,877106,4165626,69.45
GUJARAT,Narmada,122174,590297,62.74
GUJARAT,Bharuch,333483,1551019,72.1
GUJARAT,The Dangs,44699,228291,61.75
GUJARAT,Navsari  ,295131,1329672,75.35
GUJARAT,Valsad,364403,1705678,68.63
GUJARAT,Surat,1333200,6081322,75.17
GUJARAT,Tapi,177091,807022,60.72
DAMAN & DIU,Diu,10580,52074,73.08
DAMAN & DIU,Daman,50376,191173,78.64
DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,76458,343709,64.95
MAHARASHTRA,Nandurbar,323521,1648295,55.0
MAHARASHTRA,Dhule,408874,2050862,63.09
MAHARASHTRA,Jalgaon,903643,4229917,68.37
MAHARASHTRA,Buldana,561504,2586258,72.69
MAHARASHTRA,Akola,395690,1813906,77.8
MAHARASHTRA,Washim,259464,1197160,72.67
MAHARASHTRA,Amravati,647451,2888445,77.96
MAHARASHTRA,Wardha,309846,1300774,78.37
MAHARASHTRA,Nagpur,1041544,4653570,78.95
MAHARASHTRA,Bhandara,278076,1200334,74.97
MAHARASHTRA,Gondiya,292369,1322507,75.93
MAHARASHTRA,Gadchiroli,250435,1072942,66.02
MAHARASHTRA,Chandrapur,536686,2204307,71.62
MAHARASHTRA,Yavatmal,646886,2772348,72.96
MAHARASHTRA,Nanded,665434,3361292,65.14
MAHARASHTRA,Hingoli,228868,1177345,67.16
MAHARASHTRA,Parbhani,361130,1836086,63.06
MAHARASHTRA,Jalna,391701,1959046,61.03
MAHARASHTRA,Aurangabad,751915,3701282,67.65
MAHARASHTRA,Nashik,1222887,6107187,71.15
MAHARASHTRA,Thane,2529165,11060148,74.39
MAHARASHTRA,Mumbai Suburban,2105604,9356962,80.96
MAHARASHTRA,Mumbai,674339,3085411,81.32
MAHARASHTRA,Raigarh,611790,2634200,73.65
MAHARASHTRA,Pune,2151503,9429408,76.06
MAHARASHTRA,Ahmadnagar,930024,4543159,69.38
MAHARASHTRA,Bid,535835,2585049,66.48
MAHARASHTRA,Latur,481572,2454196,67.26
MAHARASHTRA,Osmanabad,351281,1657576,68.64
MAHARASHTRA,Solapur,873167,4317756,67.41
MAHARASHTRA,Satara,653735,3003741,74.1
MAHARASHTRA,Ratnagiri,397115,1615069,74.26
MAHARASHTRA,Sindhudurg,209839,849651,78.39
MAHARASHTRA,Kolhapur,840240,3876001,72.91
