State,District,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Madhya Pradesh,Damoh,89.0,5047.4222,3231.5741
Madhya Pradesh,Datia,61.0,3651.7759,2592.998
Madhya Pradesh,Dewas,184.0,9168.5925,11030.4187
Madhya Pradesh,Dhar,258.0,11684.3104,12456.4671
Madhya Pradesh,Dindori,45.0,1928.4637,870.2863
Madhya Pradesh,Guna,109.0,5582.7863,6251.591
Madhya Pradesh,Gwalior,285.0,35881.7757,22524.1182
Madhya Pradesh,Harda,89.0,3525.4334,4586.0289
Madhya Pradesh,Indore,819.0,111272.3889,104647.4357
Madhya Pradesh,Jabalpur,382.0,45820.0673,30069.5935
Madhya Pradesh,Jhabua,79.0,2715.5036,2903.5612
Madhya Pradesh,Katni,120.0,8786.2563,5637.7543
Madhya Pradesh,Khandwa (East Nimar),130.0,6213.0393,6283.5406
Madhya Pradesh,Khargone (West Nimar),178.0,7803.0626,8955.8268
Madhya Pradesh,Maihar,62.0,3546.3991,1239.8675
Madhya Pradesh,Mandla,83.0,4789.8594,2279.6791
Madhya Pradesh,Mandsaur,147.0,6191.4252,8107.3946
Madhya Pradesh,Mauganj,33.0,2220.0044,444.5334
Madhya Pradesh,Morena,97.0,6674.9138,5314.8602
Madhya Pradesh,Narmadapuram,208.0,11302.2973,11021.7387
Madhya Pradesh,Narsimhapur,133.0,6568.0077,5886.5986
Madhya Pradesh,Neemuch,99.0,4989.6816,5369.7966
Madhya Pradesh,Niwari,39.0,1831.1401,534.879
Madhya Pradesh,Pandhurna,50.0,2218.627,1531.3499
Madhya Pradesh,Panna,70.0,4264.1039,1664.791
Madhya Pradesh,Raisen,165.0,5996.1082,8459.8569
Madhya Pradesh,Rajgarh,146.0,4820.607,7926.5131
Madhya Pradesh,Ratlam,181.0,8954.9021,11729.3687
Madhya Pradesh,Rewa,160.0,15621.8865,6821.6499
Madhya Pradesh,Sagar,223.0,16695.6842,9810.29
Madhya Pradesh,Satna,151.0,13730.1627,6435.0282
Madhya Pradesh,Sehore,166.0,7205.3318,8333.675
Madhya Pradesh,Seoni,98.0,5880.0009,4294.5321
Madhya Pradesh,Shahdol,84.0,7027.491,2910.5386
Madhya Pradesh,Shajapur,113.0,3726.6039,6554.831
Madhya Pradesh,Sheopur,30.0,1743.4389,1628.8131
Madhya Pradesh,Shivpuri,106.0,6407.2605,4386.3985
Madhya Pradesh,Sidhi,70.0,5182.7224,1782.2168
Madhya Pradesh,Singrauli,85.0,20064.6467,2532.8136
Madhya Pradesh,Tikamgarh,69.0,4435.2861,1973.8212
Madhya Pradesh,Ujjain,266.0,19450.0418,17542.776
Madhya Pradesh,Umaria,44.0,3659.5936,1186.4982
Madhya Pradesh,Vidisha,137.0,6555.5656,7453.6744
Maharashtra,Ahmednagar,472.0,38337.9472,29916.1421
Maharashtra,Akola,179.0,13027.9973,10268.0929
Maharashtra,Amravati,301.0,23783.5684,17897.2167
Maharashtra,Beed,175.0,14729.1292,11092.8726
Maharashtra,Bhandara,127.0,8834.1658,3540.5609
Maharashtra,Buldhana,220.0,16564.224,12646.314
Maharashtra,Chandrapur,230.0,21584.8935,9388.3632
Maharashtra,Chhatrapati Sambhajinagar,383.0,49283.098,44374.8208
Maharashtra,Dharashiv,134.0,10571.7112,8094.4653
Maharashtra,Dhule,159.0,13705.5921,10568.1711
Maharashtra,Gadchiroli,79.0,5943.3357,2037.9481
Maharashtra,Gondia,125.0,8490.0585,4321.9241
Maharashtra,Hingoli,82.0,4302.1435,4219.5491
Maharashtra,Jalgaon,405.0,29887.9695,21826.5122
Maharashtra,Jalna,134.0,9011.2354,10641.1466
Maharashtra,Kolhapur,479.0,38519.576,58189.2726
Maharashtra,Latur,206.0,14840.4366,14751.6251
Maharashtra,Mumbai,1021.0,2213293.9121,1987973.2779
Maharashtra,Nagpur,802.0,139901.1079,82218.1347
Maharashtra,Nanded,244.0,18133.8839,16957.8462
Maharashtra,Nandurbar,91.0,6991.602,4647.8374
Maharashtra,Nashik,703.0,91390.0628,70503.1013
Maharashtra,Palghar,343.0,41278.3825,23739.0813
Maharashtra,Parbhani,123.0,8568.6456,8638.5883
Maharashtra,Pune,1888.0,581374.8802,433865.2949
Maharashtra,Raigad,520.0,63692.3773,42161.7007
Maharashtra,Ratnagiri,258.0,15887.9337,8985.0444
Maharashtra,Sangli,325.0,24876.5164,19445.1441
Maharashtra,Satara,343.0,25376.1033,18324.1403
Maharashtra,Sindhudurg,159.0,9697.5143,3949.139
Maharashtra,Solapur,431.0,33909.4464,30566.5872
Maharashtra,Thane,1197.0,344867.8036,200413.988
Maharashtra,Unknown Districts Of India,1498.0,1258677.4745,1798377.5782
Maharashtra,Wardha,173.0,12746.6436,10422.8035
Maharashtra,Washim,98.0,4477.8692,4822.5214
Maharashtra,Yavatmal,224.0,17406.9012,11549.779
Manipur,Bishnupur,20.0,459.0689,618.0533
Manipur,Chandel,4.0,153.6313,217.4297
Manipur,Churachandpur,22.0,1343.0315,1060.3822
Manipur,Imphal East,36.0,1724.6381,1497.3803
Manipur,Imphal West,70.0,10336.964,6574.0298
Manipur,Jiribam,4.0,146.4243,53.7534
Manipur,Kakching,11.0,267.7234,401.2997
Manipur,Kamjong,3.0,37.316,31.4674
Manipur,Kangpokpi,8.0,365.413,333.0105
Manipur,Noney,7.0,53.9877,43.6119
Manipur,Senapati,24.0,636.9646,556.1983
Manipur,Tamenglong,5.0,159.1401,118.214
Manipur,Tengnoupal,7.0,136.5285,167.4977
Manipur,Thoubal,21.0,582.543,935.325
Manipur,Ukhrul,9.0,402.3512,257.8074
Meghalaya,East Garo Hills,12.0,523.9614,281.9262
Meghalaya,East Jaintia Hills,17.0,1008.8325,227.3467
Meghalaya,East Khasi Hills,168.0,26189.6451,8618.2161
Meghalaya,Eastern West Khasi Hills,10.0,421.4274,141.7845
Meghalaya,North Garo Hills,11.0,430.1229,282.7376
Meghalaya,Ri Bhoi,43.0,2239.9298,2674.0982
Meghalaya,South Garo Hills,7.0,264.1066,152.7827
Meghalaya,South West Garo Hills,12.0,379.224,258.9795
Meghalaya,South West Khasi Hills,10.0,385.8782,178.5543
Meghalaya,West Garo Hills,35.0,2680.4182,1395.3948
Meghalaya,West Jaintia Hills,42.0,2533.7064,743.8602
Meghalaya,West Khasi Hills,19.0,721.6397,285.3267
Mizoram,Aizawl,110.0,12597.4653,5493.8011
Mizoram,Champhai,16.0,553.8628,322.9423
Mizoram,Hnahthial,4.0,180.0311,112.3777
Mizoram,Khawzawl,8.0,199.8118,150.3384
Mizoram,Kolasib,24.0,799.2211,448.9429
Mizoram,Lawngtlai,11.0,460.4959,553.2848
Mizoram,Lunglei,22.0,1130.0706,774.8653
Mizoram,Mamit,12.0,367.5196,259.1154
Mizoram,Saitual,9.0,290.5061,165.0562
Mizoram,Serchhip,16.0,511.8277,394.8388
